index,business
0,0x80c2c778e3b73d33:0xbdc58662a4a97d49
1,0x80dd2b4c8555edb7:0xfc33d65c4bdbef42
2,0x808f879f35b5088b:0xe3541cec7a95bd88
3,0x808f87f90c1f661f:0xf384e804a61e0c0b
4,0x80c2baf50d29bf63:0x5bd904b842b9fcc
5,0x80c2d765f8c90a3d:0x16afb75943e7ad50
6,0x80c2b12739335d6b:0xea7f9dd4f3c9f585
7,0x54d15b5c2681df95:0xa611357b2e497e58
8,0x80dca749e0a3810d:0x5539626d7c80b256
9,0x80dcc948ed86c6e7:0xc8791a82b79a5249
10,0x80dc736926023cb9:0xb3377acd90a46f16
11,0x80c2c7a94ac69057:0x8d810f2561e0a3cd
12,0x8085875ce042646d:0xd289103cd80a0a97
13,0x808f7fd770b93dfd:0x9163bc5a8883c63b
14,0x80c331f0c314eff3:0xe697c3eff85c3314
15,0x809b053254d9dfab:0xb1b11e804211e0ea
16,0x80c2c30e84ec8c41:0x7dc170790affd6d3
17,0x80904101ce001281:0x76db23c5d22346ae
18,0x80c2c7049ff0132d:0xf598d3badb3f6dc
19,0x80c29781d64d2b6b:0xfae698b2b8ec2ed4
20,0x80c2c53da375d22b:0x99c7edfa3da19a28
21,0x808f7792bd0c683d:0xefefd9d96f8fcb11
22,0x80dc09750ecc5bcb:0x926fb4902e3e47d5
23,0x80dce8d0e9580a41:0xec6526068ff7b12d
24,0x80c2c798ad41d859:0x8823cd86d2abd5b3
25,0x808f80b286dc6f9b:0xb9c0ee0392825cd4
26,0x80c2dafa5c9a7b11:0x80ffb66da68a81a9
27,0x80ecf11263210e3b:0x6bb5b0e7180c138f
28,0x80d9530842f4540d:0xb67033d92e446fd6
29,0x80e82795a4c98179:0xf4b71863f4dbdf15
30,0x80be3dd544115ed9:0x5d500f8046469ea3
31,0x809ae58e5b6f8889:0x997c522d3d5cf906
32,0x808fc98efb9d9569:0xc4c73a073b199159
33,0x808581f2c29d7eb9:0xe23bedc27a8cc3ee
34,0x80c2917597694d83:0x746a256856277771
35,0x808e331bc8f00001:0xf02dbf80c54b3edf
36,0x80da5d14bbd070bd:0x2ebbd257dbb20c22
37,0x808438701844649d:0x235528339b0c2a27
38,0x8085878a8085d297:0xadf6a9f9923446f2
39,0x808f7fa78eadde7b:0x558a58f89d554105
40,0x808fcbb682d927bf:0xa2f4b5adf39553a6
41,0x808fcb9a0d0abea7:0xe719b77f5d4d1c9a
42,0x80dd2bc1dfc5d745:0x8432f4160c2da79c
43,0x80c2d113d9850493:0xcb2e3a3f99e88dd8
44,0x808f8f37c1b6d241:0x1b3bd5046ff3ce84
45,0x808513b597ee6a73:0x8921b103ede613bb
46,0x80c2a3f2d19a95b9:0xbe7400caa486be55
47,0x80c3535314f83347:0x93295a1e23f77235
48,0x80db1bc2516bad15:0xd434ab55a2dc42e7
49,0x808fcdfa6f4687ef:0x7fb26e5dee794dc4
50,0x808f95c7bfbb6b61:0xde41893ed625a31e
51,0x809ad1c94d100827:0x21bf8b67ce525a6a
52,0x80c2ce5ad7ea5515:0x155d92fbf5bf2cc7
53,0x808581e58e71c029:0x135c032c91c365fd
54,0x80d951e31c0e285f:0x31f0ee60d6ecdc1f
55,0x80dc0730c63bbfbb:0xca370e7a0f536812
56,0x80c28758c9f2739f:0xe44f4ef91661c984
57,0x80c2b44959894c85:0x76af91d84162d1cc
58,0x808f7e54785ff399:0xe4e73c7d8b617066
59,0x80dd30259ba0d5f9:0xf5618c9f045c3451
60,0x80c2c7cfe66b66bd:0x8b8b626636463136
61,0x80d94ff008a5c601:0x451e7704e2714019
62,0x80c2cbc0ec3fe5fd:0x9b3a070152e1ed84
63,0x80c2c7d5279490eb:0x4374ad061c2c67de
64,0x80d954abbc2cf3ed:0x449b762e26968c9c
65,0x80c2c0ae97a1989d:0x5d5a1128109282c7
66,0x80dcafb14e219d6b:0xc6a83e0b565ed0b1
67,0x80c35d108ac6c9f5:0x7407c6ed4ff56766
68,0x8084d155d59bbe79:0xea9392e201d6ec6f
69,0x80c4b388ffb45711:0x5be516b31e3d6d11
70,0x809443ae04727ec5:0xc3c46b6d6bb526a3
71,0x80d94dab151ac567:0x70877709ce54a6b
72,0x80c2ba2a752f70f5:0x6a9269b538b6c380
73,0x80c2b4a77242fca3:0x79454fa0135ccf05
74,0x80c29b16da873c63:0x43a18c961ab96175
75,0x808fcb603dcda243:0x94f5a26630de7769
76,0x80c28fdfd610310d:0x5bc1bc49a8c153db
77,0x808421653f7ee6ed:0xdb904643456d7d3c
78,0x80dcde0d8c62747b:0x96e34b76f227568d
79,0x80dd26692933a663:0x3702388158a67a60
80,0x8085b169767ab3e3:0x4735d907927ecaed
81,0x808f7e2d25c415a5:0x63f483c813b91c8f
82,0x808f78df9fdec0b7:0x8c9bfb93cc6167f8
83,0x808fcde2ed993429:0xd80864b96af27cdc
84,0x808e33eef167b00d:0xaca58d640f044aea
85,0x80eccd9c4affb6f1:0x74e65f3caaa3e88c
86,0x80eadd087916a151:0xe9f866917196f6e7
87,0x8085812b00acaf7d:0x4ed5358455f65998
88,0x80dd275eadc7a383:0x47dbd4fdc6dba9f0
89,0x80858383c639597d:0x92693c511433955b
90,0x8085784fbe31dc5b:0x717667cec5307c54
91,0x80dbf480e7db2777:0x723ba983c4615762
92,0x808581bc6be9822d:0xc325eef667ab2a40
93,0x809b210eeca5d0b1:0x55dc38dc06d97a55
94,0x80969e456982bc5d:0x1efb413b3d732c49
95,0x80c29713782f7533:0x30060654b5c874bd
96,0x808f7f3710bec325:0x5def6dbb7f6c9bde
97,0x80d957868f2ff275:0x2a58075cad572fc8
98,0x809054bee4f0ff45:0x7a4d72a9c2f53a35
99,0x80c34c8452e55553:0x314f9cf33b21aa82
100,0x80c2d78f83e4823d:0xb9a3d42214ea59a4
101,0x80c2c75f91cd278d:0xd0c273e9bc793542
102,0x80c3345700293b63:0xcaada1f034a260e8
103,0x80c2bf2d51fac9a3:0x8ba3d4029546e886
104,0x808fcb64cd5e3a4d:0xe35b17dff135acc1
105,0x80c3317fe7ac0001:0xd7aa83c1fd777828
106,0x80dcd8e45e230f4d:0xd4ad1cdcfb4b5027
107,0x80ecf0cba489b4d7:0x7155956eb0bb49eb
108,0x80dbe9a345445081:0x87c14e04a71c1c9
109,0x80ece30d50f7bb6f:0x5c31a17c55025ce7
110,0x80deaa0ee3ea1bdb:0x61a87ec3e5ef0ba
111,0x80c32900dabd607d:0xaf260203625a6bc7
112,0x808f7f5ebbb3464b:0x9331a842f53760bf
113,0x808579a13d92e57b:0x80636c4c581b70d8
114,0x80c66ff0ef86c9a9:0xbe1be8d3d457cebf
115,0x80dc072d35244e9f:0x73b5a20fbf1d04d6
116,0x80c3554b4580b5cd:0xda4149adf21569fd
117,0x80c2bff879b995fd:0x4586d03fb6243b07
118,0x80c2bf1058964b7b:0xfdb382674f5e848f
119,0x8085065a8bcc6f1f:0x245f2832ba114e8e
120,0x80dd3138a43a4147:0xa2e5ff443ec27a3a
121,0x80c2c7f3094cea8b:0xe9b7aba1b34d7bf2
122,0x80dcd72b99a2b873:0x6e502d0550e34c9b
123,0x809041de90dcf319:0xa108067554ea15ce
124,0x80c2bac6dcaab6a7:0x1289c14bb310ba32
125,0x80eadbbb62e66a23:0x53634d6721b59fe5
126,0x80c2ce3950495011:0x7c616ed1503184a8
127,0x808fcd069b9db9b5:0x9f592e7257bf04bc
128,0x80ecf1015f106b97:0x9f9d673844a58a4b
129,0x80dd362ffc0c50d5:0xd4afdef520c64b08
130,0x54d3126e224514a5:0xc5e32232d9681576
131,0x80857fb9e4fc285f:0x857dd299dab5d6cb
132,0x80905366c9b34421:0xc2f925cc339e8082
133,0x808e33ca6aee24d5:0xcbc46bfc1fe64ebd
134,0x80c29b25decfa845:0x7ec937b3bd961abb
135,0x80903df14b991a2d:0xb392722fcfe290af
136,0x80c2c176ef2485e7:0x6c70a1d204286bbc
137,0x80900d73362257bb:0xe4281f6676087762
138,0x80c2c9fc035e4c95:0xc58b82d7da1f9b64
139,0x80deabf64a26cced:0x17e15ba00514eab
140,0x809ad054b82da3b7:0xc0df4b61d7cc8d00
141,0x80853fd44ac78cf5:0xc8b84375f88f1cae
142,0x808f7f6366731ebd:0x8f3d832962c9ee77
143,0x80c2bb5bf5cc4ce9:0xa46604dd543ca1c7
144,0x80dcc9e6fe102739:0x862322ecc5d7290d
145,0x808563a6f41c60bd:0x81b29fd5e2dbc5f1
146,0x80e826a4c01f5db7:0x611d9424a4b65077
147,0x80c2cdd4e82e93db:0x6f4b1739cc94015a
148,0x80c2c7b3b03af0f3:0xae620d1f51b14c0b
149,0x80db81b66c72ec19:0xb3d5a9e3702b4296
150,0x80c2c04d9d3d99ef:0xfe8217de32936f37
151,0x80dc7514687a3097:0x9126724fe1e118fd
152,0x80c29192ab6145f5:0x111836912ba6115a
153,0x80d765a5cf500579:0xba46be5012851dcc
154,0x809ad72dfe7cf981:0xce226a3288e467e8
155,0x809ad758b410f11b:0x6a6aef4b5f1a3337
156,0x80c2c62e938d4ad7:0x10113c7633cb19d2
157,0x80c297a21978f37f:0x161849e6b46adfdb
158,0x80c29705b822bdd7:0x38dd5c12cee4ace6
159,0x8085065e206fa587:0xdccdf28ee0f5d518
160,0x808fe752915d56c1:0x300be0451074c878
161,0x808e4fb2226856cd:0x304c39d5dfb1c2df
162,0x80c2b92674e3d967:0x8a1a218bc8f54797
163,0x80c2b9518dc4f7e7:0xdfbf945567a04fe2
164,0x80858098b84b7d5d:0x1c94d9c3a89b3839
165,0x808fcc78a82acf07:0x9d6e8011e950774a
166,0x80946098533f7ad5:0x74e7517ac859dd8c
167,0x80eafbb0a4c71551:0xb3569973afb20bc4
168,0x8084311f53bf66e9:0x996d4dcefb6e04f0
169,0x808580d72f62a637:0x7cf3fc1897042e73
170,0x80dbf0d169392bd3:0x8c4a3dbea22f87bb
171,0x80c35123629c7e37:0x618390bd15821710
172,0x80c333e01923a945:0x80202285e0906e42
173,0x80c2c5363d4c5b83:0x26181d7a8a5e7a1
174,0x80c1f61f014fe231:0xbfdbef8b48977060
175,0x80c2c712dc6c3aa1:0xd01bff4a6fb3492a
176,0x80c2bb9c60b71fd5:0x257df43021838bbe
177,0x80e913dfaa52e40d:0x5133d116e204828c
178,0x80dd35ccda1c59d1:0x6b321bcb28ce1af5
179,0x80d947d2a7658ca5:0x85a2452a678a343
180,0x80c34b646cd5d8fd:0xbe10ae4f90ea2553
181,0x80c2c920e14eef15:0x5742c3ff75909ee3
182,0x809207d8bda543e5:0xd3a4d61c66c2e849
183,0x80c2d534014b6b79:0x980bceff9912707c
184,0x80dcd57875a9ba93:0x2f865b28228cd1b5
185,0x80c297c6abe586bf:0xff1af3c91531163
186,0x809add6ceed2c42d:0x216464bac4aedd5f
187,0x80ece37d08aad231:0x5fc581d6af290ab1
188,0x80c32beb926f4d19:0x81fe21268da74e3f
189,0x80c32bf500c0abc9:0x6c366f8a918f5aed
190,0x80dcd94f21252ddb:0xb92a04d481fbe01a
191,0x80dcd90bfc5c4b59:0xe1f0d01a0cd31fcf
192,0x80c2bb7016b5b9f3:0xd654e2fffaad5f4
193,0x809ad12c5086be97:0xa24afbdc1ec7ac42
194,0x80dcdd067c2297ad:0x3f7a51eafe35ae32
195,0x80c32b8db0330e69:0x8bcb311b6e062544
196,0x80c32791453a1cf9:0x27ce62a0c08f4e82
197,0x80deaadd8a830ad3:0x9dbd95bffb0ad733
198,0x80c2d77319d088ff:0x5c46a60ce2a22a26
199,0x80d953ef1665d663:0x958f0005c87be809
200,0x80c2c9e6363fe63b:0x3a4198b1d132a300
201,0x80c2c953d7a8477f:0xcc2f7092501eb55e
202,0x80d9615fd407d1cf:0x31505e09e011ebd4
203,0x80c2c83f3df0aba3:0xed2bf79813b73da6
204,0x80dcad6668cbae5d:0xac06c6b19e181bcd
205,0x80dd33de16ff90e7:0xec1bc72085eca151
206,0x80c29b94d6a1d415:0xb6c85412e7f12920
207,0x80c2c84fc6975997:0x69176b0c7d86d5a7
208,0x80dc072b1cd00309:0xfd417d5d61097115
209,0x809add83d139db0f:0x5949292ed83aba25
210,0x809443abbe5074ed:0xb39f1ef6f3d326d3
211,0x80c2c7a8bf33ffb3:0x2d4474c765177be6
212,0x80dc77530f8aa40d:0x7bee8ee74ca9b4ba
213,0x80c2c4106921216d:0x12d633af5b6a70a5
214,0x80dccb0a4560a1af:0x4af19d0347255b49
215,0x80c2c74f2b4db00d:0x3ba9858eecf48962
216,0x80c3698040b224bd:0xa100808076444c63
217,0x80c2b9db8771b80b:0xed6a281c7f717aa
218,0x8090138d73bf3529:0xdf7f15bf52ffc4f
219,0x808fcd0199ca1edd:0x195e2a647a7b1b3e
220,0x808e413300a7c477:0x466407209d6a1db
221,0x80c2cd093bcb768d:0x70529206613cc2e0
222,0x80dcaa707da1610b:0x54b2a4526abd76c2
223,0x80c2b7c59de10969:0x346b572a9b04cee1
